event_timestamp,event_name,session_id,user_pseudo_id,item_id,item_name,item_category,item_price,page_location
2024-12-15T10:00:00,session_start,session_vu_001,user_001,,,,,/
2024-12-15T10:00:30,view_item,session_vu_001,user_001,prod_001,Running Shoes,Footwear,89.99,/products/running-shoes
2024-12-15T10:02:15,view_item,session_vu_001,user_001,prod_002,Trail Shoes,Footwear,99.99,/products/trail-shoes
2024-12-15T10:03:45,view_item,session_vu_001,user_001,prod_003,Athletic Socks,Accessories,12.99,/products/socks
2024-12-15T10:05:00,add_to_cart,session_vu_001,user_001,prod_001,Running Shoes,Footwear,89.99,/products/running-shoes
2024-12-15T10:05:15,view_cart,session_vu_001,user_001,,,,,/cart
2024-12-15T10:05:45,page_view,session_vu_001,user_001,,,,,/shipping-policy
2024-12-15T10:06:30,page_view,session_vu_001,user_001,,,,,/taxes
2024-12-15T10:07:00,session_end,session_vu_001,user_001,,,,,/cart
2024-12-15T11:00:00,session_start,session_vu_002,user_002,,,,,/
2024-12-15T11:00:45,page_view,session_vu_002,user_002,,,,,/sale
2024-12-15T11:02:00,view_item,session_vu_002,user_002,prod_101,Casual Shirt,Apparel,45.99,/sale/casual-shirt
2024-12-15T11:03:30,view_item,session_vu_002,user_002,prod_102,Jeans,Apparel,59.99,/sale/jeans
2024-12-15T11:05:00,view_item,session_vu_002,user_002,prod_103,Sneakers,Footwear,79.99,/clearance/sneakers
2024-12-15T11:06:15,view_item,session_vu_002,user_002,prod_104,Jacket,Apparel,129.99,/sale/jacket
2024-12-15T11:07:30,page_view,session_vu_002,user_002,,,,,/promotions
2024-12-15T11:08:00,session_end,session_vu_002,user_002,,,,,/sale
2024-12-15T14:00:00,session_start,session_vu_003,user_003,,,,,/
2024-12-15T14:01:00,view_item,session_vu_003,user_003,prod_201,Laptop Bag,Tech,49.99,/products/laptop-bag
2024-12-15T14:02:30,view_item,session_vu_003,user_003,prod_202,Wireless Mouse,Tech,29.99,/products/mouse
2024-12-15T14:03:45,add_to_cart,session_vu_003,user_003,prod_201,Laptop Bag,Tech,49.99,/products/laptop-bag
2024-12-15T14:04:00,add_to_cart,session_vu_003,user_003,prod_202,Wireless Mouse,Tech,29.99,/products/mouse
2024-12-15T14:04:15,view_cart,session_vu_003,user_003,,,,,/cart
2024-12-15T14:05:30,view_cart,session_vu_003,user_003,,,,,/cart
2024-12-15T14:06:45,view_cart,session_vu_003,user_003,,,,,/cart
2024-12-15T14:07:15,session_end,session_vu_003,user_003,,,,,/cart
2024-12-15T16:00:00,session_start,session_vu_004,user_004,,,,,/
2024-12-15T16:01:00,view_item,session_vu_004,user_004,prod_301,Smart Watch,Electronics,199.99,/products/smart-watch
2024-12-15T16:03:00,view_item,session_vu_004,user_004,prod_302,Fitness Tracker,Electronics,149.99,/products/fitness-tracker
2024-12-15T16:04:30,view_item,session_vu_004,user_004,prod_303,Headphones,Electronics,89.99,/products/headphones
2024-12-15T16:06:00,add_to_cart,session_vu_004,user_004,prod_301,Smart Watch,Electronics,199.99,/products/smart-watch
2024-12-15T16:06:20,view_cart,session_vu_004,user_004,,,,,/cart
2024-12-15T16:07:00,view_cart,session_vu_004,user_004,,,,,/cart
2024-12-15T16:08:30,page_view,session_vu_004,user_004,,,,,/shipping-policy
2024-12-15T16:09:00,view_cart,session_vu_004,user_004,,,,,/cart
2024-12-15T16:09:45,begin_checkout,session_vu_004,user_004,,,,,/checkout
2024-12-15T16:10:30,session_end,session_vu_004,user_004,,,,,/checkout
2024-12-15T18:00:00,session_start,session_vu_005,user_005,,,,,/
2024-12-15T18:01:00,page_view,session_vu_005,user_005,,,,,/sale
2024-12-15T18:02:00,page_view,session_vu_005,user_005,,,,,/clearance
2024-12-15T18:03:00,view_item,session_vu_005,user_005,prod_401,Winter Coat,Apparel,159.99,/sale/winter-coat
2024-12-15T18:04:30,view_item,session_vu_005,user_005,prod_402,Boots,Footwear,119.99,/clearance/boots
2024-12-15T18:05:45,view_item,session_vu_005,user_005,prod_403,Scarf,Accessories,24.99,/sale/scarf
2024-12-15T18:06:30,view_item,session_vu_005,user_005,prod_404,Gloves,Accessories,19.99,/sale/gloves
2024-12-15T18:07:15,add_to_cart,session_vu_005,user_005,prod_401,Winter Coat,Apparel,159.99,/sale/winter-coat
2024-12-15T18:07:30,view_cart,session_vu_005,user_005,,,,,/cart
2024-12-15T18:08:00,page_view,session_vu_005,user_005,,,,,/promotions
2024-12-15T18:08:30,view_cart,session_vu_005,user_005,,,,,/cart
2024-12-15T18:09:00,session_end,session_vu_005,user_005,,,,,/cart
2024-12-15T20:00:00,session_start,session_healthy_001,user_006,,,,,/
2024-12-15T20:01:00,view_item,session_healthy_001,user_006,prod_501,Coffee Maker,Kitchen,79.99,/products/coffee-maker
2024-12-15T20:02:30,add_to_cart,session_healthy_001,user_006,prod_501,Coffee Maker,Kitchen,79.99,/products/coffee-maker
2024-12-15T20:02:45,view_cart,session_healthy_001,user_006,,,,,/cart
2024-12-15T20:03:00,begin_checkout,session_healthy_001,user_006,,,,,/checkout
2024-12-15T20:04:00,purchase,session_healthy_001,user_006,prod_501,Coffee Maker,Kitchen,79.99,/checkout/success
2024-12-15T20:04:15,session_end,session_healthy_001,user_006,,,,,/checkout/success
